date,V80691344
6/3/15,0.62
6/10/15,0.61
6/17/15,0.63
6/24/15,0.58
7/1/15,0.58
7/8/15,0.52
7/15/15,0.42
7/22/15,0.42
7/29/15,0.41
8/5/15,0.4
8/12/15,0.4
8/19/15,0.37
8/26/15,0.37
9/2/15,0.37
9/9/15,0.38
9/16/15,0.4
9/23/15,0.42
9/30/15,0.43
10/7/15,0.41
10/14/15,0.39
10/21/15,0.4
10/28/15,0.41
11/4/15,0.43
11/11/15,0.44
11/18/15,0.46
11/25/15,0.48
12/2/15,0.49
12/9/15,0.46
12/16/15,0.47
12/23/15,0.48
12/30/15,0.52
1/6/16,0.45
1/13/16,0.4
1/20/16,0.41
1/27/16,0.48
2/3/16,0.45
2/10/16,0.46
2/17/16,0.46
2/24/16,0.46
3/2/16,0.47
3/9/16,0.47
3/16/16,0.46
3/23/16,0.46
3/30/16,0.44
4/6/16,0.47
4/13/16,0.48
4/20/16,0.55
4/27/16,0.55
5/4/16,0.53
5/11/16,0.49
5/18/16,0.48
5/25/16,0.53
6/1/16,0.53
6/8/16,0.5
6/15/16,0.51
6/22/16,0.52
6/29/16,0.49
7/6/16,0.49
7/13/16,0.47
7/20/16,0.51
7/27/16,0.53
8/3/16,0.52
8/10/16,0.51
8/17/16,0.49
8/24/16,0.5
8/31/16,0.51
9/7/16,0.49
9/14/16,0.49
9/21/16,0.53
9/28/16,0.51
10/5/16,0.49
10/12/16,0.49
10/19/16,0.48
10/26/16,0.49
11/2/16,0.47
11/9/16,0.46
11/16/16,0.49
11/23/16,0.47
11/30/16,0.51
12/7/16,0.46
12/14/16,0.49
12/21/16,0.48
12/28/16,0.48
1/4/17,0.45
1/11/17,0.47
1/18/17,0.43
1/25/17,0.45
2/1/17,0.47
2/8/17,0.46
2/15/17,0.46
2/22/17,0.47
3/1/17,0.48
3/8/17,0.48
3/15/17,0.5
3/22/17,0.49
3/29/17,0.54
4/5/17,0.54
4/12/17,0.55
4/19/17,0.53
4/26/17,0.52
5/3/17,0.51
5/10/17,0.5
5/17/17,0.52
5/24/17,0.51
5/31/17,0.52
6/7/17,0.5
6/14/17,0.54
6/21/17,0.57
6/28/17,0.65
7/5/17,0.73
7/12/17,0.76
7/19/17,0.7
7/26/17,0.73
8/2/17,0.72
8/9/17,0.73
8/16/17,0.73
8/23/17,0.72
8/30/17,0.71
9/6/17,0.94
9/13/17,0.99
9/20/17,1
9/27/17,0.99
10/4/17,0.99
10/11/17,0.98
10/18/17,0.95
10/25/17,0.92
11/1/17,0.91
11/8/17,0.87
11/15/17,0.87
11/22/17,0.87
11/29/17,0.88
12/6/17,0.89
12/13/17,0.91
12/20/17,0.99
12/27/17,1.05
1/3/18,1.06
1/10/18,1.17
1/17/18,1.18
1/24/18,1.21
1/31/18,1.2
2/7/18,1.2
2/14/18,1.15
2/21/18,1.16
2/28/18,1.14
3/7/18,1.11
3/14/18,1.07
3/21/18,1.11
3/28/18,1.09
4/4/18,1.12
4/11/18,1.14
4/18/18,1.2
4/25/18,1.2
5/2/18,1.22
5/9/18,1.21
5/16/18,1.25
5/23/18,1.26
5/30/18,1.29
6/6/18,1.25
6/13/18,1.26
6/20/18,1.19
6/27/18,1.25
7/4/18,1.26
7/11/18,1.45
7/18/18,1.39
7/25/18,1.4
8/1/18,1.45
8/8/18,1.46
8/15/18,1.48
8/22/18,1.51
8/29/18,1.54
9/5/18,1.49
9/12/18,1.52
9/19/18,1.55
9/26/18,1.51
10/3/18,1.62
10/10/18,1.59
10/17/18,1.64
10/24/18,1.72
10/31/18,1.73
11/7/18,1.71
11/14/18,1.72
11/21/18,1.7
11/28/18,1.72
12/5/18,1.68
12/12/18,1.65
12/19/18,1.64
12/26/18,1.67
1/2/19,1.65
1/9/19,1.63
1/16/19,1.6
1/23/19,1.63
1/30/19,1.66
2/6/19,1.65
2/13/19,1.67
2/20/19,1.67
2/27/19,1.67
3/6/19,1.66
3/13/19,1.65
3/20/19,1.67
3/27/19,1.66
4/3/19,1.67
4/10/19,1.67
4/17/19,1.68
4/24/19,1.68
5/1/19,1.68
5/8/19,1.67
5/15/19,1.67
5/22/19,1.68
5/29/19,1.69
6/5/19,1.67
6/12/19,1.67
6/19/19,1.66
6/26/19,1.66
7/3/19,1.66
